,Date,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
0,2013-04-28,Bitcoin,BTC,0.001060837509465121,0.0018814401779404786,1.8357056493015585e-08,0.6240974729241877,0.0,0.009526157313658854
1,2013-04-28,Litecoin,LTC,5.3127081130369446e-05,6.095853976764485e-05,2.8662527610247277e-08,0.6277075812274369,0.0,0.009526157313658854
2,2013-04-28,Peercoin,PPC,5.100362223519822e-06,5.418132116137786e-06,3.136600738013295e-08,0.588673285198556,0.0,0.009526157313658854
3,2013-04-28,Namecoin,NMC,4.206499131079547e-06,1.5521358294093097e-05,8.72507448470407e-09,0.608528880866426,0.0,0.009526157313658854
4,2013-04-28,Terracoin,TRC,1.0044027647239569e-06,9.068583200832615e-06,3.4785352720408155e-09,0.6234205776173285,0.0,0.009526157313658854
5,2013-04-28,Devcoin,DVC,9.480906984064804e-07,4.503344494805555e-09,7.409511143270647e-06,0.6200361010830325,0.0,0.009526157313658854
6,2013-04-28,Novacoin,NVC,7.614903990180568e-07,5.9528639573179136e-05,0.0,0.657942238267148,0.0,0.009526157313658854
7,2013-05-05,Bitcoin,BTC,0.0009183871228995946,0.0016248992606981,1.8402407723704688e-08,0.6193592057761733,2.97,0.008006330228381257
8,2013-05-05,Litecoin,LTC,4.433319306506853e-05,5.0339428029333284e-05,2.897599667433761e-08,0.6119133574007221,2.87,0.007686077019246007
9,2013-05-05,Namecoin,NMC,4.4164224972710314e-06,1.6135374259951905e-05,8.810007285302375e-09,0.5828068592057761,8.91,0.009706643658326143
10,2013-05-05,Peercoin,PPC,4.008688224721861e-06,4.257389605336205e-06,3.148967836199116e-08,0.6166516245487365,2.61,0.0070829885016992136
11,2013-05-05,Feathercoin,FTC,1.3709715520423642e-06,4.387762858361019e-06,1.0471839285820248e-08,0.3206227436823104,-29.71,0.009526157313658854
12,2013-05-05,Freicoin,FRC,1.0930194729012618e-06,1.1374034555294422e-06,3.357298068856297e-08,0.27369133574007215,-23.15,0.009526157313658854
13,2013-05-05,Terracoin,TRC,9.075202122779455e-07,7.96251334452531e-06,3.6203671096832987e-09,0.6351534296028881,-3.05,0.008168107622686693
14,2013-05-05,Devcoin,DVC,6.829615145128238e-07,3.2795181518951925e-09,7.476625792359328e-06,0.6238718411552346,-12.41,0.006531624729270482
15,2013-05-05,Novacoin,NVC,6.571067812296464e-07,5.168802017352546e-05,3.0494354180849686e-12,0.6380866425992779,5.17,0.008236340265182863
16,2013-05-05,Mincoin,MNC,1.7708330710035898e-08,1.6246910119963864e-06,1.2727108048896177e-09,0.6166516245487365,-60.48,0.009526157313658854
17,2013-05-12,Bitcoin,BTC,0.0009136044724218814,0.0016121423079827686,1.845268013564724e-08,0.6089801444043321,-0.41,0.009319258333186597
18,2013-05-12,Litecoin,LTC,4.092298745795092e-05,4.583243869089477e-05,2.9386959429935912e-08,0.6134927797833936,-2.61,0.008435535560212006
19,2013-05-12,Namecoin,NMC,3.264603977975374e-06,1.1865299757655266e-05,8.907327886986945e-09,0.6101083032490975,0.61,0.006574545262453558
20,2013-05-12,Peercoin,PPC,3.2012751984624395e-06,3.4022532145282766e-06,3.160435885478703e-08,0.5825812274368231,-4.88,0.007164427462097868
21,2013-05-12,Novacoin,NVC,6.348184006536112e-07,4.934690907082178e-05,1.0146118177367899e-11,0.6074007220216606,-0.28,0.0090386240777588
22,2013-05-12,Devcoin,DVC,6.34045995817986e-07,3.0271828234600663e-09,7.557825255889879e-06,0.6227436823104693,3.67,0.008574201898188093
23,2013-05-12,Terracoin,TRC,6.132459575491601e-07,5.3368240658642445e-06,3.789689683982976e-09,0.5866425992779783,-5.49,0.005869107781162508
24,2013-05-12,Feathercoin,FTC,5.177144168994779e-07,1.7564661279569523e-06,1.0639498840248071e-08,0.598826714801444,-5.69,0.0025598246200982553
25,2013-05-12,Freicoin,FRC,4.6641436188522794e-07,5.04041781157275e-07,3.4845835734972087e-08,0.6101083032490975,-20.35,0.0029439083657621804
